AssetID;Action_Actual;Action_From;Action_To;Trigger_Date;Trigger_MSGNo;Trigger_Text;Trigger_Count;AWS;BWS;AVSS;CalcDate
65316;34;11.03.2015 04:17;11.03.2015 04:17;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:17;11.03.2015 04:17;11.03.2015 04:17;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;11.03.2015 04:17;11.03.2015 04:17;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;1;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:17;11.03.2015 04:17;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:17;2015-03-11 04:17:43.017;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;2;0;29.10.2018 12:25
65316;34;2015-03-11 04:17:43.017;11.03.2015 04:17;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:17;11.03.2015 04:17;11.03.2015 04:17;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;11.03.2015 04:17;11.03.2015 04:19;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;1;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:19;11.03.2015 04:19;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:19;11.03.2015 04:20;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 04:20;11.03.2015 04:20;11.03.2015 04:17;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:20;11.03.2015 04:30;11.03.2015 04:20;0;NULL;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:30;11.03.2015 04:30;11.03.2015 04:20;0;NULL;0;0;2;0;29.10.2018 12:25
65316;26;11.03.2015 04:30;11.03.2015 04:38;11.03.2015 04:30;0;NULL;0;0;2;0;29.10.2018 12:25
65316;26;11.03.2015 04:38;11.03.2015 04:38;11.03.2015 04:30;0;NULL;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:38;2015-03-11 04:43:25.050;11.03.2015 04:38;0;NULL;0;0;4;0;29.10.2018 12:25
65316;4;2015-03-11 04:43:25.050;2015-03-11 04:43:26.053;11.03.2015 04:38;0;NULL;0;0;2;0;29.10.2018 12:25
65316;26;2015-03-11 04:43:26.053;11.03.2015 04:59;2015-03-11 04:43:26.053;0;NULL;0;0;2;0;29.10.2018 12:25
65316;30;11.03.2015 04:59;11.03.2015 05:00;11.03.2015 04:59;0;NULL;0;0;2;0;29.10.2018 12:25
65316;32;11.03.2015 05:00;11.03.2015 12:09;11.03.2015 05:00;3345;Ignition safety loop ;1;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 12:09;12.03.2015 00:16;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 00:16;12.03.2015 00:25;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 00:25;12.03.2015 00:32;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 00:32;12.03.2015 00:36;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 00:36;12.03.2015 00:36;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 00:36;12.03.2015 00:40;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 00:40;12.03.2015 00:41;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 00:41;12.03.2015 00:44;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 00:44;12.03.2015 00:59;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 00:59;12.03.2015 00:59;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 00:59;12.03.2015 01:03;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 01:03;2015-03-12 01:03:37.057;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 01:03:37.057;12.03.2015 01:29;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 01:29;12.03.2015 01:43;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 01:43;12.03.2015 02:24;11.03.2015 05:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:24;12.03.2015 02:24;11.03.2015 05:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:24;12.03.2015 02:25;12.03.2015 02:24;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 02:25;12.03.2015 02:27;12.03.2015 02:25;1018;Engine oil level low;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:27;12.03.2015 02:27;12.03.2015 02:25;1018;Engine oil level low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:27;12.03.2015 02:27;12.03.2015 02:25;1018;Engine oil level low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:27;12.03.2015 02:27;12.03.2015 02:25;1018;Engine oil level low;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:27;12.03.2015 02:28;12.03.2015 02:27;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 02:28;12.03.2015 02:28;12.03.2015 02:28;1018;Engine oil level low;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:28;12.03.2015 02:28;12.03.2015 02:28;1018;Engine oil level low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:28;12.03.2015 02:28;12.03.2015 02:28;1018;Engine oil level low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:28;12.03.2015 02:28;12.03.2015 02:28;1018;Engine oil level low;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:28;12.03.2015 02:29;12.03.2015 02:28;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 02:29;12.03.2015 02:30;12.03.2015 02:29;1019;Jacket water pressure low;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:30;12.03.2015 02:30;12.03.2015 02:29;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:30;12.03.2015 02:30;12.03.2015 02:29;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:30;12.03.2015 02:31;12.03.2015 02:29;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:31;12.03.2015 02:31;12.03.2015 02:29;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:31;12.03.2015 02:35;12.03.2015 02:29;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:35;12.03.2015 02:35;12.03.2015 02:29;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:35;12.03.2015 02:35;12.03.2015 02:29;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:35;12.03.2015 02:35;12.03.2015 02:35;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 02:35;12.03.2015 02:35;12.03.2015 02:35;1019;Jacket water pressure low;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:35;12.03.2015 02:35;12.03.2015 02:35;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
